acqf,trial,iteration,best_f,sum_c_x,cum_costs,n_mem,eta
EI,10,1,-2.6045346767208697,11.541274268743816,92.38044994855466,0,0.9638386876167316
EI,10,2,-2.6045346767208697,11.61502204289291,103.99547199144756,0,0.9274463074816294
EI,10,3,-2.6045346767208697,10.25976846826515,114.25524045971272,0,0.8953002303742075
EI,10,4,-2.6045346767208697,12.738410073647708,126.99365053336044,0,0.8553880321876648
EI,10,5,-2.6045346767208697,10.965447908229883,137.95909844159033,0,0.8210309085288128
EI,10,6,-2.6045346767208697,14.313863149287435,152.27296159087777,0,0.7761824745777604
EI,10,7,-2.6045346767208697,13.866126731672722,166.1390883225505,0,0.7327368958128618
EI,10,8,-2.6045346767208697,13.739876225409818,179.87896454796032,0,0.6896868872327809
EI,10,9,-2.4423263778083086,10.992986443368112,190.87195099132845,0,0.6552434793778754
EI,10,10,-2.4423263778083086,11.112076788900149,201.9840277802286,0,0.6204269356727737
EI,10,11,-2.4423263778083086,15.832654418949945,217.81668219917853,0,0.5708197996695583
EI,10,12,-2.4423263778083086,16.167825217350448,233.98450741652897,0,0.5201625009494293
EI,10,13,-2.4423263778083086,16.172338164908147,250.15684558143712,0,0.4694910621869961
EI,10,14,-2.4423263778083086,10.239745468361503,260.39659104979864,0,0.4374077214757039
EI,10,15,-2.4423263778083086,12.475230978758209,272.87182202855683,0,0.3983201204039547
EI,10,16,-2.4423263778083086,11.965841407501866,284.8376634360587,0,0.3608285472041767
EI,10,17,-2.4423263778083086,7.693897128348809,292.53156056440747,0,0.33672190083009
EI,10,18,-2.4423263778083086,6.099989806356487,298.63155037076393,0,0.3176093113719402
EI,10,19,-1.4060267082538151,6.557862154445004,305.1894125252089,0,0.2970621086617918
EI,10,20,-1.4060267082538151,7.133735412238744,312.3231479374477,0,0.2747105702878902
EI,10,21,-1.4060267082538151,6.701470928598152,319.02461886604584,0,0.2537134101794331
EI,10,22,-1.4060267082538151,5.136182887869275,324.1608017539151,0,0.2376206365791352
EI,10,23,-1.4060267082538151,7.035967459789966,331.19676921370507,0,0.2155754263789907
EI,10,24,-1.4060267082538151,6.829101712870882,338.025870926576,0,0.1941783713757119
EI,10,25,-1.4060267082538151,5.78207963422483,343.8079505608008,0,0.1760618633533359
EI,10,26,-1.4060267082538151,7.315120074971937,351.1230706357728,0,0.1531420075390983
EI,10,27,-1.4060267082538151,8.601237406643978,359.72430804241674,0,0.1261924675228241
EI,10,28,-1.4060267082538151,8.48809165367828,368.212399696095,0,0.0995974376605036
EI,10,29,-1.4060267082538151,9.06755729063721,377.2799569867322,0,0.0711868164323154
EI,10,30,-1.4060267082538151,9.36313343461892,386.64309042135113,0,0.0418500911165993
EI,10,31,-1.4060267082538151,6.746613773007405,393.38970419435856,0,0.0207114886976537
EI,10,32,-1.4060267082538151,8.067087580501372,401.45679177486,0,-0.004564444204463
LaMBO,6,0,-2.9229867077621488,5.181892788373295,68.47273058409765,0,0.9846101818125474
