acqf,trial,iteration,best_f,sum_c_x,cum_costs,n_mem,eta
LaMBO,7,0,-1.8153717300729253,3.784165294588608,76.38310457272593,0,0.9884418050257836
LaMBO,7,1,-1.8153717300729253,9.58776951614342,85.97087408886935,0,0.959157325937646
LaMBO,7,2,-1.8153717300729253,6.098249182383957,92.0691232712533,0,0.9405310906745764
LaMBO,7,3,-1.8153717300729253,9.199774244045395,101.2688975152987,0,0.912431687991636
LaMBO,7,4,-1.8153717300729253,10.591875775849278,111.86077329114798,0,0.8800803090666685
LaMBO,7,5,-1.8153717300729253,11.3309732040592,123.19174649520718,0,0.8454714621097393
LaMBO,7,6,-1.8153717300729253,12.33553484868565,135.52728134389284,0,0.8077943244074732
LaMBO,7,7,-1.8153717300729253,12.497529894764169,148.024811238657,0,0.7696223958645134
LaMBO,7,8,-1.8153717300729253,9.991243269624835,158.01605450828183,0,0.7391055635500552
LaMBO,7,9,-1.8153717300729253,10.820110645678549,168.8361651539604,0,0.7060570736587211
LaMBO,7,10,-1.8153717300729253,10.734030254735057,179.57019540869544,0,0.6732715040852189
LaMBO,7,11,-1.8153717300729253,10.77395494538079,190.34415035407625,0,0.6403639902194236
LaMBO,7,12,-1.8153717300729253,10.140475547604904,200.4846259016811,0,0.6093913491252044
LaMBO,7,13,-1.8153717300729253,5.000980292550974,205.48560619423208,0,0.5941165657096448
LaMBO,7,14,-1.8153717300729253,10.892514919835406,216.37812111406748,0,0.5608469272551471
LaMBO,7,15,-1.8153717300729253,8.929279661446666,225.3074007755141,0,0.5335737118240207
LaMBO,7,16,-1.8153717300729253,10.428978208063157,235.7363789835773,0,0.5017198803640093
LaMBO,7,17,-1.8153717300729253,12.11833875684881,247.8547177404261,0,0.4647061372498912
LaMBO,7,18,-1.8153717300729253,10.605859410080017,258.46057715050614,0,0.4323120473019358
LaMBO,7,19,-1.8153717300729253,8.528678781959552,266.9892559324657,0,0.4062624103118927
LaMBO,7,20,-1.8153717300729253,5.899793258102898,272.8890491905686,0,0.3882423304590821
LaMBO,7,21,-1.8153717300729253,8.387816013480219,281.2768652040488,0,0.3626229387717535
LaMBO,7,22,-1.8153717300729253,8.427812576478871,289.7046777805277,0,0.3368813832682467
LaMBO,7,23,-1.8153717300729253,7.143537381194634,296.8482151617223,0,0.3150624637893532
LaMBO,7,24,-1.8153717300729253,7.790798500351636,304.6390136620739,0,0.2912665772299931
LaMBO,7,25,-1.8153717300729253,5.898576359924999,310.53759002199894,0,0.273250214219685
