acqf,trial,iteration,best_f,sum_c_x,cum_costs
LaMBO,3,0,-24.859952084210207,75.16764579305492,549.1745179795945
LaMBO,3,1,-24.859952084210207,77.99320774176735,627.1677257213619
LaMBO,3,2,-24.859952084210207,73.21496213649488,700.3826878578568
LaMBO,3,3,-24.458622609834404,75.46182663523159,775.8445144930884
LaMBO,3,4,-23.9396394859364,76.4904659251609,852.3349804182493
LaMBO,3,5,-23.9396394859364,77.53824496797175,929.8732253862212
LaMBO,3,6,-21.15722917535388,79.38288813963572,1009.2561135258568
LaMBO,3,7,-19.501934771502537,86.13622687756367,1095.3923404034203
LaMBO,3,8,-19.35091177088072,84.11434925316091,1179.506689656581
LaMBO,3,9,-18.64206112375888,82.8772477786608,1262.3839374352422
LaMBO,3,10,-17.990850638876204,87.1319699837917,1349.515907419034
LaMBO,3,11,-17.405107216883703,87.16810094782392,1436.6840083668578
LaMBO,3,12,-17.280543611594027,87.49101131328437,1524.1750196801422
LaMBO,3,13,-17.280543611594027,86.62185150677726,1610.7968711869194
LaMBO,3,14,-17.280543611594027,88.3835880056138,1699.1804591925331
LaMBO,3,15,-17.280543611594027,85.2624083734722,1784.4428675660054
LaMBO,3,16,-17.238729706827794,82.76083656581183,1867.2037041318167
LaMBO,3,17,-16.963395704570043,85.47397408500046,1952.6776782168176
LaMBO,3,18,-15.932157692309358,82.56962439977687,2035.2473026165944
LaMBO,3,19,-15.371409466445176,85.55778790698571,2120.80509052358
LaMBO,3,20,-15.019738954309368,86.38717119958739,2207.192261723168
LaMBO,3,21,-15.019738954309368,88.79720995453911,2295.9894716777067
LaMBO,3,22,-15.019738954309368,87.66552156798626,2383.654993245693
LaMBO,3,23,-15.019738954309368,89.4703954052968,2473.1253886509894
LaMBO,3,24,-14.684869067257829,85.10647113916707,2558.2318597901567
LaMBO,7,0,-32.27663790090006,43.41503375629077,391.48141818987625
LaMBO,7,1,-32.27663790090006,43.41168198231866,434.8931001721949
LaMBO,7,2,-31.49076564801376,56.8177005150721,491.710800687267
LaMBO,7,3,-31.49076564801376,43.66590979412539,535.3767104813924
LaMBO,7,4,-31.49076564801376,57.587799993350345,592.9645104747427
LaMBO,7,5,-31.49076564801376,56.82999145849765,649.7945019332403
LaMBO,7,6,-30.881655633733462,59.20221751708187,708.9967194503222
LaMBO,7,7,-30.881655633733462,59.93315824657969,768.9298776969018
LaMBO,7,8,-30.881655633733462,58.38671581367839,827.3165935105802
LaMBO,7,9,-30.72255044236014,57.84789307558172,885.164486586162
LaMBO,7,10,-28.44737505112216,56.5536814147011,941.7181680008632
LaMBO,7,11,-27.819028742052836,56.308082582504696,998.0262505833678
LaMBO,7,12,-26.63240482764425,56.450579224179606,1054.4768298075471
LaMBO,7,13,-26.06168010012068,57.16412988918884,1111.6409596967362
LaMBO,7,14,-24.50231077056805,55.95036525013079,1167.591324946867
LaMBO,7,15,-23.78471409679573,55.23250059142646,1222.8238255382937
LaMBO,7,16,-23.78471409679573,54.97456728660014,1277.7983928248937
LaMBO,7,17,-23.0655518129658,54.94724192963189,1332.7456347545256
LaMBO,7,18,-22.763316684592446,54.36283899869453,1387.10847375322
LaMBO,7,19,-22.763316684592446,55.23589426271943,1442.3443680159396
LaMBO,7,20,-22.763316684592446,55.49155922817011,1497.8359272441098
LaMBO,7,21,-22.36728836031158,52.70540824218397,1550.5413354862935
LaMBO,7,22,-22.36728836031158,53.7499492134625,1604.2912846997565
LaMBO,7,23,-22.36728836031158,54.93293811348569,1659.224222813242
LaMBO,7,24,-22.36728836031158,52.92034238774331,1712.1445652009854
LaMBO,7,25,-22.36728836031158,54.51430604785104,1766.6588712488365
LaMBO,7,26,-21.11054319096661,51.81385049159267,1818.472721740429
LaMBO,7,27,-20.63235634920852,50.60012979834205,1869.0728515387711
LaMBO,7,28,-20.602657620479444,50.33888673534369,1919.411738274115
LaMBO,7,29,-20.48888917664385,49.53467588259705,1968.946414156712
LaMBO,7,30,-20.48888917664385,49.924029207207525,2018.8704433639195
LaMBO,7,31,-20.386271250153406,49.59216927154755,2068.462612635467
LaMBO,7,32,-19.72830322498956,50.36660092980294,2118.82921356527
LaMBO,7,33,-18.42088475368272,49.166527841089945,2167.99574140636
LaMBO,7,34,-16.593631688586118,47.563337170198366,2215.5590785765585
LaMBO,7,35,-15.940837732575869,46.75826215863289,2262.3173407351915
LaMBO,7,36,-15.940837732575869,46.59194459511835,2308.90928533031
LaMBO,7,37,-15.771736559800695,46.23315083591384,2355.142436166224
LaMBO,7,38,-15.771736559800695,46.53972858873231,2401.6821647549564
LaMBO,7,39,-15.771736559800695,47.66491512478292,2449.34707987974
LaMBO,7,40,-14.692703060496116,44.30176862951997,2493.648848509259
LaMBO,7,41,-13.237655503750757,41.41279434727157,2535.061642856531
LaMBO,2,0,-26.11647116004842,30.07209333180588,377.0007169601791
LaMBO,2,1,-23.78463640758716,29.71595788856832,406.7166748487474
LaMBO,2,2,-22.34605371730504,29.76774439018274,436.4844192389302
LaMBO,2,3,-21.92493978304811,28.93167083548601,465.41609007441616
LaMBO,2,4,-21.92493978304811,29.40904719356045,494.82513726797663
LaMBO,2,5,-21.92493978304811,29.383491620556683,524.2086288885333
LaMBO,2,6,-21.41617657090055,28.811560770069587,553.0201896586029
LaMBO,2,7,-21.41617657090055,28.648347463806065,581.668537122409
LaMBO,2,8,-21.41617657090055,29.240989104145587,610.9095262265546
LaMBO,2,9,-20.837416339598423,29.23462136496353,640.1441475915182
LaMBO,2,10,-20.132356695435483,29.09198662655504,669.2361342180732
LaMBO,2,11,-19.060434559504618,29.32369654580338,698.5598307638766
LaMBO,2,12,-19.060434559504618,29.832327898938345,728.392158662815
LaMBO,2,13,-18.672192354965084,29.32391629525072,757.7160749580656
LaMBO,2,14,-18.672192354965084,29.075792235720805,786.7918671937864
LaMBO,2,15,-18.39788054244288,29.666257434085885,816.4581246278723
LaMBO,2,16,-17.980280126521734,29.15914932289774,845.61727395077
LaMBO,2,17,-17.980280126521734,29.751793125038525,875.3690670758085
LaMBO,2,18,-17.49965347471863,29.269072208315407,904.638139284124
LaMBO,2,19,-17.329009432006366,29.48345586598672,934.1215951501106
LaMBO,2,20,-17.155612935546806,29.103405298826992,963.2250004489376
LaMBO,2,21,-17.155612935546806,28.409136780713297,991.6341372296508
LaMBO,2,22,-17.155612935546806,28.804980897254826,1020.4391181269056
LaMBO,2,23,-17.036421207149683,29.56212888478853,1050.0012470116942
LaMBO,2,24,-16.494623285385323,29.56313771615062,1079.5643847278448
LaMBO,2,25,-15.567232366082212,30.10077631871676,1109.6651610465617
LaMBO,2,26,-15.185723115913436,29.74537748695568,1139.4105385335172
LaMBO,2,27,-15.185723115913436,30.422298579058594,1169.8328371125758
LaMBO,2,28,-15.185723115913436,30.59334931723383,1200.4261864298096
LaMBO,2,29,-13.938226559653158,30.70421605039088,1231.1304024802005
LaMBO,2,30,-13.938226559653158,30.72149212963732,1261.8518946098377
LaMBO,2,31,-13.938226559653158,30.22085237054894,1292.072746980387
LaMBO,2,32,-13.938226559653158,30.507411805491483,1322.5801587858782
LaMBO,2,33,-13.81781998282094,31.00528935471128,1353.5854481405895
LaMBO,2,34,-13.810714914852262,31.305566708360125,1384.8910148489497
LaMBO,2,35,-13.810714914852262,30.994263723519584,1415.8852785724694
LaMBO,2,36,-12.864337560786726,31.627366329251007,1447.5126449017205
LaMBO,2,37,-12.861735776078003,31.71339584247722,1479.2260407441977
LaMBO,2,38,-11.760055143474148,32.126125190140286,1511.352165934338
LaMBO,2,39,-10.644264971025033,32.514370045524814,1543.8665359798629
LaMBO,2,40,-10.312461421823665,32.40110718623271,1576.2676431660957
LaMBO,2,41,-10.04520617378244,32.90403678342103,1609.1716799495168
LaMBO,2,42,-9.951319075086111,33.537592846292114,1642.7092727958088
LaMBO,2,43,-9.818084262820808,33.71202120352157,1676.4212939993304
LaMBO,2,44,-9.777220492271727,34.885372182088645,1711.3066661814191
LaMBO,2,45,-9.777220492271727,35.664413686204455,1746.9710798676235
LaMBO,2,46,-9.777220492271727,35.22887957381264,1782.1999594414362
LaMBO,2,47,-9.774557585594955,35.16647463571925,1817.3664340771556
LaMBO,2,48,-9.774557585594955,35.28529686259142,1852.6517309397468
LaMBO,2,49,-9.774557585594955,35.40596344935729,1888.057694389104
LaMBO,2,50,-9.774557585594955,35.24843078730319,1923.3061251764077
LaMBO,2,51,-9.734875807524467,35.08011272049572,1958.3862378969031
LaMBO,2,52,-9.734875807524467,35.22331548200879,1993.609553378912
LaMBO,2,53,-9.676337115346865,35.1674298509638,2028.776983229876
LaMBO,2,54,-9.676337115346865,35.13547714087287,2063.9124603707487
LaMBO,2,55,-9.676337115346865,34.76660098312506,2098.6790613538737
LaMBO,2,56,-9.676337115346865,34.85261761784256,2133.531678971716
LaMBO,2,57,-9.604728588896435,34.63325215108213,2168.1649311227984
LaMBO,2,58,-9.604728588896435,35.07625008396376,2203.241181206762
LaMBO,2,59,-9.604728588896435,35.16097957011959,2238.402160776882
LaMBO,2,60,-9.604728588896435,34.847926519584206,2273.250087296466
LaMBO,2,61,-9.604728588896435,34.90291427115236,2308.1530015676185
LaMBO,2,62,-9.540071003597143,35.22773706001372,2343.380738627632
LaMBO,2,63,-9.449623131943229,34.81085155158381,2378.191590179216
LaMBO,2,64,-9.449623131943229,35.13224201780483,2413.3238321970207
LaMBO,2,65,-9.422442816335186,35.013003142882006,2448.336835339903
LaMBO,2,66,-9.422442816335186,34.95752170825827,2483.294357048161
LaMBO,2,67,-9.422442816335186,35.03542068435549,2518.3297777325165
LaMBO,1,0,-22.662596155014565,54.2923886452144,467.6896724634379
LaMBO,1,1,-22.662596155014565,32.202245211065,499.8919176745029
LaMBO,1,2,-22.662596155014565,54.66834940989339,554.5602670843963
LaMBO,1,3,-22.662596155014565,56.08362929028994,610.6438963746863
LaMBO,1,4,-22.662596155014565,56.54156572860924,667.1854621032955
LaMBO,1,5,-22.662596155014565,58.73775353496978,725.9232156382653
LaMBO,1,6,-22.662596155014565,54.698691706595646,780.621907344861
LaMBO,1,7,-21.27932049468169,51.24221042451013,831.8641177693712
LaMBO,1,8,-21.27932049468169,51.77515505342711,883.6392728227984
LaMBO,1,9,-20.937886530920043,50.67906287830175,934.3183357011
LaMBO,1,10,-20.937886530920043,51.9045558927507,986.2228915938508
LaMBO,1,11,-20.937886530920043,52.05737858678242,1038.2802701806331
LaMBO,1,12,-20.84642066728094,51.46391681231034,1089.7441869929437
LaMBO,1,13,-19.89232011033388,47.36867070936173,1137.1128577023053
LaMBO,1,14,-19.89232011033388,50.9102037650575,1188.0230614673628
LaMBO,1,15,-19.89232011033388,48.51106293188546,1236.5341243992482
LaMBO,1,16,-19.89232011033388,31.544173276567932,1268.0782976758162
LaMBO,1,17,-19.71240076028141,48.58284516658303,1316.6611428423992
LaMBO,1,18,-19.71240076028141,49.28045950238989,1365.941602344789
LaMBO,1,19,-19.71240076028141,48.5635612789402,1414.5051636237292
LaMBO,1,20,-19.71240076028141,48.14726609922997,1462.6524297229591
LaMBO,1,21,-19.71240076028141,49.7168949593569,1512.369324682316
LaMBO,1,22,-18.933705391935355,46.13472413236796,1558.504048814684
LaMBO,1,23,-18.933705391935355,46.89813175437395,1605.402180569058
LaMBO,1,24,-18.933705391935355,46.76148240282786,1652.1636629718855
LaMBO,1,25,-18.933705391935355,33.789818078303234,1685.9534810501889
LaMBO,1,26,-18.933705391935355,46.0021031140216,1731.9555841642104
LaMBO,1,27,-18.933705391935355,46.56107105898363,1778.516655223194
LaMBO,1,28,-18.728872340468804,46.18055542789569,1824.6972106510896
LaMBO,1,29,-18.16994392222448,46.048230661319536,1870.7454413124092
LaMBO,1,30,-18.16994392222448,32.15173736758442,1902.8971786799937
LaMBO,1,31,-18.16994392222448,46.60831132509993,1949.5054900050936
LaMBO,1,32,-18.089234299440783,46.48605349788888,1995.9915435029827
LaMBO,1,33,-18.089234299440783,46.34858189768256,2042.340125400665
LaMBO,1,34,-18.089234299440783,46.63773248493989,2088.9778578856053
LaMBO,1,35,-17.712696193456697,45.18164634501967,2134.159504230625
LaMBO,1,36,-17.712696193456697,45.17101198976284,2179.330516220388
LaMBO,1,37,-17.712696193456697,46.01043935316984,2225.340955573557
LaMBO,1,38,-17.475228551932503,44.9835849611631,2270.3245405347207
