acqf,trial,iteration,best_f,sum_c_x,cum_costs,n_mem,eta,duration,n_prefs
EEIPU,1,1,-9.97363942619558,2.210950667321573,50.364707989410874,0,0.9854395431304063,112.36593747138977,5
EEIPU,1,2,-9.97363942619558,2.7492745651283106,53.113982554539184,0,0.9673338954920914,171.08150434494019,5
EEIPU,1,3,-8.404428576397711,2.825772157113672,55.93975471165285,0,0.9487244646146507,230.35522747039795,5
EEIPU,1,4,-8.404428576397711,2.647467733398459,58.58722244505131,0,0.9312892769754402,302.7803313732147,5
EEIPU,1,5,-8.404428576397711,2.732643819478784,61.31986626453009,0,0.9132931529272794,380.8349258899689,5
EEIPU,1,6,-8.404428576397711,2.6298294456976055,63.949695710227694,0,0.8959741241563413,452.30109000205994,5
EEIPU,1,7,-8.404428576397711,2.78725161290568,66.73694732313338,0,0.8776183745259873,604.5340411663055,5
EEIPU,1,8,-8.404428576397711,2.9823128374826977,69.71926016061607,0,0.8579780279168939,585.3362293243408,5
EEIPU,1,9,-7.832933314654131,2.9228772459533054,72.64213740656938,0,0.8387291008811874,732.5689656734467,5
EEIPU,1,10,-7.381932793448286,2.7054127621475237,75.3475501687169,0,0.820912309932424,521.2278146743774,5
EEIPU,1,11,-6.351865207343122,3.3228323229911396,78.67038249170804,0,0.7990294350954128,587.962833404541,5
EEIPU,1,12,-6.351865207343122,3.3899616972599236,82.06034418896796,0,0.7767044724392702,526.2470433712006,5
EEIPU,1,13,-6.351865207343122,3.498041201453735,85.55838539042169,0,0.7536677404150632,570.5855751037598,5
EEIPU,1,14,-5.156580031229651,3.717190751801243,89.27557614222293,0,0.7291877751143349,505.2163405418396,5
EEIPU,1,15,-4.177481749373667,4.281154956528243,93.55673109875117,0,0.7009937620058957,483.91350197792053,5
EEIPU,1,16,-4.177481749373667,5.022658540960381,98.57938963971155,0,0.6679164961323225,544.9035174846649,5
EEIPU,1,17,-4.177481749373667,4.649605108457841,103.22899474816938,0,0.6372960143445685,524.9699821472168,5
EEIPU,1,18,-4.177481749373667,4.496518826912929,107.72551357508232,0,0.6076836989680812,870.3930196762085,5
EEIPU,1,19,-4.177481749373667,4.3247869121269105,112.05030048720923,0,0.5792023428551054,1001.4468986988068,5
EEIPU,1,20,-3.9946612205976555,4.663819389082601,116.71411987629183,0,0.5484882513712924,620.5956177711487,5
EEIPU,1,21,-3.8893626332381794,4.082260771006974,120.7963806472988,0,0.5216040776241285,712.0593612194061,5
EEIPU,1,22,-3.8893626332381794,3.5667164683703145,124.36309711566912,0,0.49811507713607645,475.1325252056122,5
EEIPU,1,23,-3.8893626332381794,3.6627300854624956,128.02582720113162,0,0.4739937684960483,833.9057829380035,5
EEIPU,1,24,-3.8893626332381794,3.794192219881931,131.82001942101354,0,0.44900670162518747,540.0468235015869,5
EEIPU,1,25,-3.8893626332381794,3.3405626724208255,135.16058209343436,0,0.42700706163734353,466.5850520133972,5
EEIPU,1,26,-3.8893626332381794,3.865250980511141,139.0258330739455,0,0.40155202954471586,513.2222397327423,5
EEIPU,1,27,-3.8893626332381794,3.4854230537474375,142.51125612769295,0,0.3785983957090696,626.5425882339478,5
EEIPU,1,28,-3.8893626332381794,3.5989009541787036,146.11015708187165,0,0.3548974407778862,400.9341950416565,5
EEIPU,1,29,-3.8893626332381794,5.385237038969593,151.49539412084124,0,0.31943237464258173,264.03340196609497,5
EEIPU,1,30,-3.8893626332381794,5.37178966045851,156.86718378129976,0,0.2840558676857853,332.9994752407074,5
EEIPU,1,31,-3.8893626332381794,6.731503014932109,163.59868679623187,0,0.23972482006671,376.17027592658997,5
EEIPU,1,32,-3.8893626332381794,5.338596799364447,168.9372835955963,0,0.20456690831851862,407.0255379676819,5
EEIPU,1,33,-3.8893626332381794,5.092700355764506,174.0299839513608,0,0.17102837443087482,277.1050856113434,5
EEIPU,1,34,-3.8893626332381794,7.4949913165612285,181.52497526792203,0,0.12166929129268181,310.7504253387451,5
EEIPU,1,35,-3.8893626332381794,5.609013505367368,187.1339887732894,0,0.08473052082033669,606.3182992935181,5
EEIPU,1,36,-3.8893626332381794,4.950235124456558,192.08422389774594,0,0.052130207258698116,430.0112020969391,5
EEIPU,1,37,-3.8893626332381794,13.345026092781556,205.4292499905275,1,-0.03575491823030334,447.39684104919434,5
