acqf,trial,iteration,best_f,sum_c_x,cum_costs,n_mem,eta,duration,n_prefs
EEIPU,1,1,-9.97363942619558,2.210950667321573,50.364707989410874,0,0.9854395431304063,255.69964933395386,5
EEIPU,1,2,-9.97363942619558,0.7678153804677758,51.13252336987865,2,0.9803830111614433,386.407755613327,5
EEIPU,1,3,-9.97363942619558,0.689195855915441,51.82171922579409,2,0.9758442366500625,375.1106379032135,5
EEIPU,1,4,-8.663004837145717,1.028785755302866,52.850504981096954,2,0.9690690558015967,422.43736457824707,5
EEIPU,1,5,-8.663004837145717,2.3849901859184275,55.23549516701538,1,0.9533624426917987,593.0302083492279,5
EEIPU,1,6,-7.714175983385399,3.0173492153594,58.25284438237478,0,0.9334913601931711,537.4923062324524,5
EEIPU,1,7,-7.714175983385399,2.2812366252492557,60.53408100762404,1,0.9184680274783268,762.8711287975311,5
EEIPU,1,8,-7.714175983385399,2.93243695118819,63.466517958812226,0,0.8991561439606796,954.4661884307861,5
EEIPU,1,9,-7.714175983385399,1.4234116849803333,64.88992964379256,2,0.8897821109923459,1025.8937859535217,5
EEIPU,1,10,-7.633933511747269,2.2967113202291225,67.18664096402168,1,0.8746568679851758,1182.9439795017242,5
EEIPU,1,11,-7.633933511747269,2.4443803345931743,69.63102129861485,1,0.8585591345708689,883.2045152187347,5
EEIPU,1,12,-7.633933511747269,4.22202369211967,73.85304499073453,0,0.8307545368563555,818.2699229717255,5
EEIPU,1,13,-6.345349750675853,0.7165956133899418,74.56964060412447,2,0.8260353182523762,1063.604686498642,5
EEIPU,1,14,-4.59051500875599,4.636024014026664,79.20566461815113,0,0.7955042762439126,701.3878448009491,5
EEIPU,1,15,-4.59051500875599,0.6903911264103664,79.8960557445615,2,0.7909576301482645,1068.145851612091,5
EEIPU,1,16,-4.59051500875599,5.119913139173844,85.01596888373534,0,0.75723988350613,1083.728830575943,5
EEIPU,1,17,-4.59051500875599,3.4892714381813206,88.50524032191666,1,0.7342609057148745,1103.45556974411,5
EEIPU,1,18,-4.59051500875599,4.743654161761328,93.24889448367799,0,0.70302105362434,1258.2092916965485,5
EEIPU,1,19,-3.971361348243343,5.034544022330001,98.28343850600798,0,0.6698655146163117,1250.852874994278,5
EEIPU,1,20,-3.971361348243343,5.279338661786197,103.56277716779418,0,0.6350978537991488,929.7686386108398,5
EEIPU,1,21,-3.971361348243343,5.2672671845979675,108.83004435239215,1,0.6004096910121997,1220.0968160629272,5
EEIPU,1,22,-3.971361348243343,3.1592449879167277,111.98928934030887,1,0.579604138420306,753.8876843452454,5
EEIPU,1,23,-3.971361348243343,3.0319589731891146,115.02124831349799,1,0.5596368417673333,666.7466711997986,5
EEIPU,1,24,-3.971361348243343,7.989802446223314,123.0110507597213,0,0.507019125942972,505.6300389766693,5
EEIPU,1,25,-3.971361348243343,3.2456753624198633,126.25672612214116,1,0.48564437668885685,887.6767411231995,5
EEIPU,1,26,-3.971361348243343,5.11787454511696,131.3746006672581,0,0.4519400554303273,558.8748142719269,5
EEIPU,1,27,-3.8932359750232854,3.3877763942765053,134.7623770615346,1,0.4296294843254334,710.5006794929504,5
EEIPU,1,28,-3.8932359750232854,3.10681591871064,137.86919298024526,1,0.40916920908964316,599.423299074173,5
EEIPU,1,29,-3.8932359750232854,4.425444390491033,142.2946373707363,0,0.38002496216956566,622.3140830993652,5
EEIPU,1,30,-3.8932359750232854,1.4004970664040783,143.69513443714038,1,0.3708018359222159,562.0704016685486,5
EEIPU,1,31,-3.8932359750232854,1.8238038150781901,145.51893825221856,1,0.3587909768919615,741.5736272335052,5
EEIPU,1,32,-3.8932359750232854,3.20610873165223,148.72504698387078,0,0.33767679800211653,772.2024772167206,5
EEIPU,1,33,-3.8932359750232854,1.8144198472931365,150.5394668311639,1,0.32572773811565103,828.7837762832642,5
EEIPU,1,34,-3.8932359750232854,1.4504670732406297,151.98993390440452,1,0.3161755289357553,801.3622641563416,5
EEIPU,1,35,-3.8932359750232854,3.8729547236118043,155.86288862801632,0,0.29066976300233716,793.0479655265808,5
EEIPU,1,36,-3.8932359750232854,1.5259457939353789,157.3888344219517,1,0.28062048047137483,1112.6450831890106,5
EEIPU,1,37,-3.8932359750232854,1.6388099506768377,159.02764437262854,1,0.2698279187209139,428.32467889785767,5
EEIPU,1,38,-3.8932359750232854,1.4080395525933673,160.43568392522192,1,0.2605551206077591,577.712726354599,5
EEIPU,1,39,-3.8932359750232854,4.159054119189127,164.59473804441106,0,0.23316521588676356,559.0543875694275,5
EEIPU,1,40,-3.8932359750232854,4.959064754535197,169.55380279894626,0,0.20050675383278868,513.3827919960022,5
EEIPU,1,41,-3.8932359750232854,4.498867476948931,174.0526702758952,0,0.17087897116521408,410.72374963760376,5
EEIPU,1,42,-3.8932359750232854,3.683445041720369,177.73611531761557,0,0.1466212419204179,496.10784673690796,5
EEIPU,1,43,-3.8932359750232854,7.446313225962886,185.18242854357845,0,0.0975827336594156,493.31199073791504,5
EEIPU,1,44,-3.8932359750232854,3.6951733165300595,188.8776018601085,1,0.07324776658111856,742.4321749210358,5
EEIPU,1,45,-3.8932359750232854,5.465904202160008,194.34350606226852,0,0.037251458040550786,580.6733641624451,5
EEIPU,1,46,-3.8932359750232854,4.901864149087212,199.24537021135572,0,0.004969696815251242,611.627379655838,5
EEIPU,1,47,-3.8932359750232854,4.37425376843488,203.6196239797906,0,-0.0238374286775628,528.9001293182373,5
