acqf,trial,iteration,best_f,sum_c_x,cum_costs,n_mem,eta,duration,n_prefs
EEIPU,1,1,-10.540430004096415,14.738117486387683,829.2014962656613,0,0.9912561273953729,147.55893421173096,5
EEIPU,1,2,-10.540430004096415,5.128845968284073,834.3303422339453,2,0.988213270952082,323.18526005744934,5
EEIPU,1,3,-10.540430004096415,5.443518893009926,839.7738611269552,2,0.9849837244536694,348.5355658531189,5
EEIPU,1,4,-10.540430004096415,5.743106140604954,845.5169672675602,2,0.9815764379739217,367.0499005317688,5
EEIPU,1,5,-10.540430004096415,5.117460752550151,850.6344280201104,2,0.9785403361840692,312.54275608062744,5
EEIPU,1,6,-10.540430004096415,6.061597133374582,856.6960251534849,2,0.974944094454842,293.433584690094,5
EEIPU,1,7,-10.540430004096415,5.21904063261914,861.915065786104,2,0.9718477270624566,323.15030455589294,5
EEIPU,1,8,-10.540430004096415,5.702189504299241,867.6172552904033,2,0.9684647157220271,335.1613099575043,5
EEIPU,1,9,-10.540430004096415,5.529242915297512,873.1464982057007,2,0.9651843106298535,404.71114206314087,5
EEIPU,1,10,-10.540430004096415,5.355224880790734,878.5017230864914,2,0.9620071474561976,305.3870894908905,5
EEIPU,1,11,-10.540430004096415,2.4838602495795428,880.9855833360709,3,0.9605335157247313,327.4496068954468,5
EEIPU,1,12,-10.540430004096415,2.5177451723966118,883.5033285084676,3,0.9590397806490892,308.6723539829254,5
EEIPU,1,13,-10.540430004096415,2.585272412425383,886.088600920893,3,0.957505982818845,274.2438714504242,5
EEIPU,1,14,-10.540430004096415,2.492548497168725,888.5811494180617,3,0.956027196498935,227.50402569770813,5
EEIPU,1,15,-10.540430004096415,2.362029453479498,890.9431788715412,3,0.9546258448915348,185.6706554889679,5
EEIPU,1,16,-10.540430004096415,2.2221271832944316,893.1653060548357,3,0.953307494904167,186.85358476638794,5
EEIPU,1,17,-10.540430004096415,2.191847153801112,895.3571532086368,3,0.9520071095395265,159.44502019882202,5
EEIPU,1,18,-10.540430004096415,2.191847153801112,897.5490003624378,3,0.9507067241748859,269.7352714538574,5
EEIPU,1,19,-10.540430004096415,2.191840803407561,899.7408411658454,3,0.9494063425778251,230.26653933525085,5
EEIPU,1,20,-10.540430004096415,2.191840803407561,901.9326819692529,3,0.9481059609807643,190.9122712612152,5
EEIPU,1,21,-10.540430004096415,2.5413486410864135,904.4740306103394,3,0.9465982223715336,153.04928255081177,5
EEIPU,1,22,-10.540430004096415,40.299308169655944,944.7733387799954,0,0.9226893332603201,87.91900086402893,5
EEIPU,1,23,-10.540430004096415,37.883265409840334,982.6566041898357,0,0.9002138409257756,94.07282423973083,5
EEIPU,1,24,-10.540430004096415,22.37150799357402,1005.0281121834097,0,0.8869412085119087,90.46085548400879,5
EEIPU,1,25,-10.540430004096415,43.88598633733185,1048.9140985207416,0,0.8609044046923938,98.45044445991516,5
EEIPU,1,26,-10.540430004096415,9.426800902036623,1058.3408994227782,0,0.8553116452214016,107.26772737503052,5
EEIPU,1,27,-10.540430004096415,31.11393627092026,1089.4548356936984,0,0.8368522798897919,115.6914746761322,5
EEIPU,1,28,-10.540430004096415,8.99461865687743,1098.449454350576,0,0.8315159267405122,260.87291502952576,5
EEIPU,1,29,-10.540430004096415,9.469559234658506,1107.9190135852346,0,0.8258977994833303,275.04860043525696,5
EEIPU,1,30,-10.540430004096415,19.403007923403973,1127.3220215086385,0,0.8143863273034191,155.71362495422363,5
EEIPU,1,31,-10.540430004096415,10.823480856581305,1138.1455023652197,0,0.8079649415439435,165.64673852920532,5
EEIPU,1,32,-10.540430004096415,8.541644063871482,1146.6871464290912,0,0.8028973304601302,357.02389335632324,5
EEIPU,1,33,-10.540430004096415,8.48440461420715,1155.1715510432982,0,0.7978636785611508,414.4921362400055,5
EEIPU,1,34,-10.540430004096415,8.38171866015114,1163.5532697034494,0,0.7928909484794509,537.6789617538452,5
EEIPU,1,35,-10.540430004096415,8.393497141121584,1171.946766844571,0,0.7879112304267855,761.3173553943634,5
