acqf,trial,iteration,best_f,sum_c_x,cum_costs,n_mem,eta,duration,n_prefs
EEIPU,5,1,-18.984667696205136,2.377292749566568,49.08799575268177,0,0.9844914628996253,79.59476351737976,5
EEIPU,5,2,-18.984667696205136,0.9125148397246425,50.000510592406414,2,0.978538569530017,129.5572464466095,5
EEIPU,5,3,-11.39958455733785,0.44313800919440915,50.44364860160082,2,0.9756477087988638,135.6961166858673,5
EEIPU,5,4,-11.39958455733785,0.4971454004127043,50.940794002013526,2,0.9724045247661076,139.92295956611633,5
EEIPU,5,5,-11.39958455733785,0.7058331442117313,51.646627146225256,2,0.9677999427239179,118.47348594665527,5
EEIPU,5,6,-10.24343579966503,0.6657213979367284,52.312348544161985,2,0.9634570341779269,154.45601892471313,5
EEIPU,5,7,-10.24343579966503,1.7756744953389372,54.088023039500925,1,0.9518732215430825,175.15678715705872,5
EEIPU,5,8,-10.24343579966503,2.3250595747003695,56.41308261420129,0,0.9367054334440371,152.87341690063477,5
EEIPU,5,9,-10.24343579966503,0.5063896886042617,56.91947230280555,2,0.9334019432557134,110.32188510894775,5
EEIPU,5,10,-10.24343579966503,0.4868900331845775,57.40636233599013,2,0.9302256612665378,121.37093567848206,5
EEIPU,5,11,-10.24343579966503,2.2893566300310995,59.69571896602123,1,0.9152907853496784,125.25196266174316,5
EEIPU,5,12,-10.24343579966503,0.7692431530893161,60.464962119110545,2,0.9102725409701967,171.61307525634766,5
EEIPU,5,13,-10.24343579966503,2.5753357247238737,63.040297843834416,0,0.8934720482079641,133.6975393295288,5
EEIPU,5,14,-10.24343579966503,2.6064904065548475,65.64678825038926,0,0.8764683143686225,97.61027479171753,5
EEIPU,5,15,-10.182601143806716,2.039255164117342,67.6860434145066,1,0.8631650035434786,125.88954520225525,5
EEIPU,5,16,-10.182601143806716,0.4545773409613566,68.14062075546795,2,0.8601995170426788,163.0063443183899,5
EEIPU,5,17,-10.182601143806716,0.812958337780547,68.95357909324849,2,0.8548960917304924,144.2826783657074,5
EEIPU,5,18,-9.666392358019952,2.770716240574913,71.7242953338234,0,0.8368210121596648,192.24137997627258,5
EEIPU,5,19,-7.8172315083652055,0.46422783937406065,72.18852317319747,2,0.8337925695451521,169.1107747554779,5
EEIPU,5,20,-7.8172315083652055,0.4964845437648494,72.68500771696232,2,0.8305536966851967,157.4111132621765,5
EEIPU,5,21,-4.087511241761642,0.6770640218711192,73.36207173883344,2,0.826136793254001,176.33086919784546,5
EEIPU,5,22,-4.087511241761642,1.871218031421587,75.23328977025503,1,0.8139296915966712,179.1360559463501,5
EEIPU,5,23,-4.087511241761642,2.6674019876779957,77.90069175793302,1,0.7965285941949902,230.00707697868347,5
EEIPU,5,24,-3.9692624680800366,2.4449067248369873,80.34559848277,1,0.7805789697089006,212.97852897644043,5
EEIPU,5,25,-3.9692624680800366,1.0261449350352845,81.37174341780529,2,0.7738847976098783,216.30732655525208,5
EEIPU,5,26,-3.9692624680800366,0.5027284263382215,81.87447184414351,2,0.7706051920784599,224.42615818977356,5
EEIPU,5,27,-3.9692624680800366,0.4438649429378845,82.31833678708139,2,0.7677095891131276,239.8037211894989,5
EEIPU,5,28,-3.9692624680800366,0.44102482685937267,82.75936161394077,2,0.7648325139650282,308.0543749332428,5
EEIPU,5,29,-3.698648497432145,1.901420027362843,84.66078164130361,1,0.7524283861843294,308.3184132575989,5
EEIPU,5,30,-3.394477057183222,3.142473946471757,87.80325558777537,0,0.7319281033332989,285.6400010585785,5
EEIPU,5,31,-3.394477057183222,0.45794699778526665,88.26120258556064,2,0.7289406344965504,244.65203142166138,5
EEIPU,5,32,-3.394477057183222,2.8030838674787244,91.06428645303936,1,0.710654401064769,250.39397621154785,5
EEIPU,5,33,-3.394477057183222,0.5296421735523241,91.59392862659168,2,0.7071992206710388,270.35500979423523,5
EEIPU,5,34,-3.394477057183222,0.4811136707384365,92.07504229733011,2,0.704060621433101,311.51105213165283,5
EEIPU,5,35,-3.394477057183222,2.3777760457264763,94.45281834305659,1,0.6885489314957742,376.9254238605499,5
EEIPU,5,36,-3.394477057183222,3.473941846076467,97.92676018913306,0,0.665886280455323,411.50704193115234,5
EEIPU,5,37,-3.389746719894409,2.598050167521512,100.52481035665457,1,0.6489376074662735,430.3247821331024,5
EEIPU,5,38,-3.389746719894409,0.4828823272522034,101.00769268390677,2,0.6457874701982944,420.06134390830994,5
EEIPU,5,39,-3.3380604585644664,1.9708387547807438,102.97853143868751,1,0.632930481527906,459.75957107543945,5
EEIPU,5,40,-3.3380604585644664,3.1189825905170405,106.09751402920455,1,0.6125834471842074,394.6108675003052,5
EEIPU,5,41,-3.3380604585644664,0.45114117382434543,106.54865520302889,2,0.6096403769068774,576.4408228397369,5
EEIPU,5,42,-3.3380604585644664,2.7965377990425844,109.34519300207147,1,0.5913968474900818,661.9673454761505,5
EEIPU,5,43,-3.3380604585644664,0.4446266765527481,109.78981967862421,2,0.5884962752696887,488.18043518066406,5
EEIPU,5,44,-3.29842907788422,3.0631698186490883,112.8529894972733,1,0.5685133418316723,560.4117953777313,5
EEIPU,5,45,-2.4939312821297976,3.9608198133091603,116.81380931058246,0,0.5426744875156423,666.9289124011993,5
EEIPU,5,46,-2.484652881460349,3.2860562183869253,120.09986552896939,1,0.5212375295364188,466.2975912094116,5
EEIPU,5,47,-2.484652881460349,0.4431065455076509,120.54297207447703,2,0.518346874062171,522.034280538559,5
EEIPU,5,48,-2.484652881460349,3.016029299129418,123.55900137360645,1,0.4986714671145437,574.3045654296875,5
EEIPU,5,49,-2.484652881460349,6.3306297897571095,129.88963116336356,0,0.457372890411659,594.1303915977478,5
EEIPU,5,50,-2.484652881460349,3.4498092091850356,133.3394403725486,1,0.4348676713469832,697.4305551052094,5
EEIPU,5,51,-2.484652881460349,0.4433745873489372,133.78281495989754,2,0.4319752672715836,889.1118950843811,5
EEIPU,5,52,-2.484652881460349,3.2988624142041845,137.08167737410173,1,0.4104547666310775,777.7377734184265,5
EEIPU,5,53,-2.484652881460349,4.98364955977181,142.06532693387354,1,0.37794336722219973,802.002596616745,5
EEIPU,5,54,-2.484652881460349,2.3923000259275655,144.4576269598011,2,0.36233692846362037,649.8263580799103,5
EEIPU,5,55,-2.484652881460349,1.2355310878510464,145.69315804765216,2,0.3542768022052543,645.26105260849,5
EEIPU,5,56,-2.484652881460349,3.9198377993329334,149.6129958469851,1,0.3287052986748246,705.1705894470215,5
EEIPU,5,57,-2.484652881460349,5.7375236132956555,155.35051946028074,0,0.2912759169391106,686.3717267513275,5
EEIPU,5,58,-2.484652881460349,2.380199515444215,157.73071897572495,2,0.27574841722402876,648.3666412830353,5
EEIPU,5,59,-2.484652881460349,0.7424965799457601,158.47321555567072,2,0.27090465712797424,518.4939782619476,5
EEIPU,5,60,-2.484652881460349,6.39118767988464,164.86440323555536,0,0.22921102420581055,614.5356042385101,5
EEIPU,5,61,-2.484652881460349,0.4432443128901873,165.30764754844554,2,0.22631946999052052,697.7106804847717,5
EEIPU,5,62,-2.484652881460349,2.742432884364035,168.05008043280958,0,0.2084289000806085,767.0781352519989,5
EEIPU,5,63,-2.484652881460349,0.5772264328706094,168.6273068656802,2,0.20466329840991687,1107.479942560196,5
EEIPU,5,64,-2.484652881460349,0.5138369656152095,169.1411438312954,2,0.20131122507093055,797.9581382274628,5
EEIPU,5,65,-2.484652881460349,5.22789567341481,174.36903950471023,0,0.16720645862059538,1010.6860136985779,5
EEIPU,5,66,-2.484652881460349,0.5684437290094554,174.9374832337197,2,0.16349815190808556,714.0786926746368,5
EEIPU,5,67,-2.484652881460349,5.115889793331695,180.05337302705138,0,0.13012406843612823,889.4665927886963,5
EEIPU,5,68,-2.484652881460349,0.9593116560316451,181.01268468308302,2,0.12386589076276373,1078.2795598506927,5
EEIPU,5,69,-2.484652881460349,6.630894633349115,187.64357931643212,0,0.08060850252199271,940.9562368392944,5
EEIPU,5,70,-2.484652881460349,3.6433963131557903,191.28697562958791,1,0.05684039617318589,1124.279465675354,5
EEIPU,5,71,-2.484652881460349,5.030368325260876,196.31734395484878,0,0.02402422163385654,696.1646828651428,5
EEIPU,5,72,-2.484652881460349,4.280895065750179,200.59823902059895,0,-0.0039026796542168947,500.7892048358917,5
