acqf,trial,iteration,best_f,sum_c_x,cum_costs,n_mem,eta,duration,n_prefs
EEIPU,5,1,-18.984667696205136,2.377292749566568,49.08799575268177,0,0.9844914628996253,84.0059642791748,5
EEIPU,5,2,-18.984667696205136,1.111734470573086,50.19973022325485,2,0.9772389378221851,125.3906614780426,5
EEIPU,5,3,-12.096069263989978,0.6458268119030985,50.84555703515795,2,0.973025813849699,79.88280272483826,5
EEIPU,5,4,-12.096069263989978,0.6965708637135983,51.54212789887155,2,0.9684816553379163,119.51512622833252,5
EEIPU,5,5,-12.096069263989978,0.9094029045394308,52.45153080341098,2,0.9625490630281094,84.65675258636475,5
EEIPU,5,6,-10.239629019228358,0.9041672661082453,53.35569806951923,2,0.9566506259955053,94.02435278892517,5
EEIPU,5,7,-10.239629019228358,1.944557631229429,55.30025570074866,1,0.9439650851956871,82.45452046394348,5
EEIPU,5,8,-10.239629019228358,2.3189210291833664,57.61917672993202,0,0.9288373425899495,124.20576238632202,5
EEIPU,5,9,-10.239629019228358,1.7862767325825217,59.405453462514544,1,0.9171843650658968,203.0942645072937,5
EEIPU,5,10,-10.239629019228358,0.7277352730645331,60.133188735579076,2,0.9124369020184323,211.54366374015808,5
EEIPU,5,11,-10.239629019228358,2.462723653168947,62.59591238874802,1,0.8963710467929432,263.79186034202576,5
EEIPU,5,12,-10.239629019228358,2.3462008966523653,64.94211328540038,0,0.8810653408981602,223.244868516922,5
EEIPU,5,13,-10.239629019228358,1.0651511566588132,66.0072644420592,2,0.8741167073175623,227.44422364234924,5
EEIPU,5,14,-10.239629019228358,1.2564227110124857,67.26368715307169,1,0.8659202922016521,246.99707865715027,5
EEIPU,5,15,-10.239629019228358,1.3946077737730616,68.65829492684475,1,0.8568224112595705,227.03311443328857,5
EEIPU,5,16,-10.239629019228358,1.3045415734306935,69.96283650027544,1,0.8483120873231432,257.8501298427582,5
EEIPU,5,17,-10.239629019228358,1.9457175701398424,71.90855407041529,0,0.8356189795311532,273.31129479408264,5
EEIPU,5,18,-10.239629019228358,1.8809586129195561,73.78951268333485,1,0.823348334092954,243.5069375038147,5
