acqf,trial,iteration,best_f,sum_c_x,cum_costs,n_mem,eta,duration,n_prefs
EEIPU,10,1,-12.160101002801305,1.946612873185558,40.62373613903445,0,0.9879334356503358,105.10745310783386,10
EEIPU,10,2,-12.160101002801305,0.9998163191441894,41.62355245817864,2,0.9817358253709716,208.27978086471558,10
EEIPU,10,3,-12.160101002801305,0.6772930136835413,42.300845471862175,2,0.9775374560671581,337.02042865753174,10
EEIPU,10,4,-9.728610467707561,0.8261172942691749,43.12696276613135,2,0.9724165624221076,356.1412305831909,10
EEIPU,10,5,-9.728610467707561,1.6258957795899436,44.752858545721296,1,0.9623380427942355,467.13716864585876,10
EEIPU,10,6,-9.728610467707561,1.8374393634790969,46.590297909200395,1,0.9509482176145925,298.9324414730072,10
EEIPU,10,7,-9.728610467707561,1.6499257929356528,48.24022370213605,1,0.9407207419686267,404.14620184898376,10
EEIPU,10,8,-9.728610467707561,0.9671049630730044,49.207328665209054,2,0.9347259011707731,515.481038570404,10
EEIPU,10,9,-9.728610467707561,2.1086460998231393,51.315974765032195,0,0.9216549335404471,604.9161529541016,10
EEIPU,10,10,-9.728610467707561,1.6891700347777112,53.005144799809905,1,0.9111841926946753,715.1900489330292,10
EEIPU,10,11,-9.728610467707561,0.7004013844282005,53.7055461842381,2,0.9068425804038008,561.1457703113556,10
EEIPU,10,12,-9.728610467707561,2.133149816500115,55.83869600073822,0,0.8936197203873917,435.722847700119,10
EEIPU,10,13,-9.728610467707561,1.3691399745064405,57.207835975244656,2,0.8851327655163682,624.1982254981995,10
EEIPU,10,14,-9.728610467707561,2.043769779916776,59.251605755161435,1,0.8724639499008073,859.1494176387787,10
EEIPU,10,15,-9.728610467707561,0.6724986543574227,59.92410440951886,2,0.8682952996264532,807.2384684085846,10
EEIPU,10,16,-9.728610467707561,0.6466000229800195,60.57070443249888,2,0.8642871884641067,888.0396611690521,10
EEIPU,10,17,-9.728610467707561,1.5546542751196541,62.12535870761853,1,0.8546502770316281,850.5581693649292,10
EEIPU,10,18,-9.728610467707561,1.7809637399638985,63.90632244758243,1,0.8436105300594812,992.2468173503876,10
EEIPU,10,19,-9.728610467707561,0.6418982046454219,64.54822065222785,2,0.8396315642882272,1121.628501176834,10
EEIPU,10,20,-9.728610467707561,2.053900948788389,66.60212160101625,1,0.826899948101063,815.6602430343628,10
EEIPU,10,21,-9.728610467707561,0.6432751065357574,67.245396707552,2,0.822912447260771,974.3595666885376,10
EEIPU,10,22,-9.728610467707561,2.6530507543844233,69.89844746193643,0,0.8064668518926914,1085.1420719623566,10
EEIPU,10,23,-9.728610467707561,1.1252658551462238,71.02371331708265,2,0.7994916114436845,950.4750254154205,10
EEIPU,10,24,-9.728610467707561,2.3364435406154085,73.36015685769806,1,0.7850085846844623,874.5929200649261,10
EEIPU,10,25,-9.728610467707561,2.5827989029792193,75.94295576067728,0,0.7689984629009566,1067.6950447559357,10
EEIPU,10,26,-9.138320530535182,2.6910072937706175,78.63396305444789,0,0.7523175844772152,1185.5993838310242,10
EEIPU,10,27,-9.138320530535182,1.3925020508173043,80.02646510526519,2,0.7436858139620387,744.8637056350708,10
EEIPU,10,28,-9.138320530535182,4.022911808042802,84.049376913308,0,0.7187487939343566,835.0753419399261,10
EEIPU,10,29,-9.138320530535182,3.3546698683289438,87.40404678163694,0,0.6979540378759385,1034.238384962082,10
EEIPU,10,30,-9.138320530535182,0.6431802713726813,88.04722705300962,2,0.6939671248950064,1350.3129813671112,10
EEIPU,10,31,-9.138320530535182,2.3473250553636946,90.39455210837332,1,0.6794166463585251,1166.9957110881805,10
EEIPU,10,32,-9.138320530535182,2.404098984469522,92.79865109284285,0,0.6645142404931045,957.5559332370758,10
EEIPU,10,33,-9.138320530535182,2.9423750370405597,95.74102612988341,0,0.6462751965545973,1257.146674156189,10
EEIPU,10,34,-9.138320530535182,3.647974335318162,99.38900046520158,1,0.6236623197626109,928.492045879364,10
EEIPU,10,35,-9.138320530535182,0.7177879031177139,100.10678836831929,2,0.6192129328086418,1405.0181303024292,10
EEIPU,10,36,-9.138320530535182,0.7106095042255325,100.81739787254482,2,0.6148080429467001,1925.359013557434,10
EEIPU,10,37,-8.29685281779414,3.3095221715169134,104.12692004406173,0,0.5942931461229174,1973.523942232132,10
EEIPU,10,38,-8.29685281779414,3.9884350785395934,108.11535512260133,0,0.5695698386833145,1378.3649961948395,10
EEIPU,10,39,-8.29685281779414,2.653610994814305,110.76896611741563,1,0.5531207705255028,1981.2931952476501,10
EEIPU,10,40,-8.00570027201896,3.723462281297776,114.4924283987134,0,0.5300399629136117,1380.9053461551666,10
EEIPU,10,41,-8.00570027201896,0.687084725550043,115.17951312426344,2,0.5257808972469219,874.2584624290466,10
EEIPU,10,42,-8.00570027201896,0.781458463883031,115.96097158814646,2,0.5209368324763016,999.3617742061615,10
EEIPU,10,43,-8.00570027201896,4.56254765265642,120.52351924080288,0,0.49265474536614434,881.362949848175,10
EEIPU,10,44,-8.00570027201896,0.7129531470044866,121.23647238780737,2,0.48823532785117296,821.0462391376495,10
EEIPU,10,45,-7.8710673594469975,2.3026323966290243,123.53910478443639,1,0.47396188788255894,1146.5899951457977,10
EEIPU,10,46,-7.8544410591065885,2.651375309971976,126.19048009440837,1,0.4575266781736392,1209.3162770271301,10
