acqf,trial,iteration,best_f,sum_c_x,cum_costs
CArBO,4,1,-21.345484108727415,14.125606386349311,667.6973536039937
CArBO,4,2,-21.345484108727415,12.967474429080175,680.664828033074
CArBO,4,3,-21.345484108727415,11.845784562786111,692.51061259586
CArBO,4,4,-14.309805347468535,29.524939095472305,722.0355516913323
CArBO,4,5,-13.461908376262627,24.305085413078178,746.3406371044105
CArBO,4,6,-13.461908376262627,23.621851595761328,769.9624887001718
CArBO,4,7,-13.461908376262627,28.928540169114772,798.8910288692865
CArBO,4,8,-13.461908376262627,21.817472392623984,820.7085012619104
CArBO,4,9,-13.461908376262627,22.342593131257175,843.0510943931677
CArBO,4,10,-9.694616521731076,31.205976427427327,874.257070820595
CArBO,4,11,-9.694616521731076,20.29550720756786,894.5525780281629
CArBO,4,12,-9.694616521731076,31.514931427811277,926.0675094559741
CArBO,4,13,-9.694616521731076,43.74110610932449,969.8086155652986
CArBO,4,14,-9.694616521731076,39.22030334836245,1009.0289189136611
CArBO,4,15,-9.694616521731076,33.5207030044148,1042.549621918076
CArBO,4,16,-9.564395761774614,42.95115221549529,1085.5007741335712
CArBO,4,17,-8.385956870134455,39.98304333632889,1125.4838174699
CArBO,4,18,-8.137577570879298,46.12405484141225,1171.6078723113123
CArBO,4,19,-8.137577570879298,45.47293029779751,1217.08080260911
CArBO,4,20,-8.137577570879298,80.89233155535292,1297.9731341644629
CArBO,4,21,-7.083368675366453,52.967963022061504,1350.9410971865243
CArBO,4,22,-7.083368675366453,46.968246145608745,1397.909343332133
CArBO,4,23,-7.083368675366453,48.324766427335305,1446.2341097594683
CArBO,4,24,-7.083368675366453,60.1178249833075,1506.3519347427757
