acqf,trial,iteration,best_f,sum_c_x,cum_costs
EI,1,1,-20.535046784438645,65.48429351556962,356.306927910441
EI,1,2,-20.535046784438645,35.3422361734566,391.64916408389763
EI,1,3,-20.535046784438645,53.794349658825,445.44351374272264
EI,1,4,-20.535046784438645,92.28715660633829,537.7306703490609
EI,1,5,-20.535046784438645,66.90342563336397,604.6340959824249
EI,1,6,-19.45350477415548,94.71622486626224,699.3503208486871
EI,1,7,-15.664709766152882,59.692374226728504,759.0426950754156
EI,1,8,-15.664709766152882,71.71022217779839,830.752917253214
EI,1,9,-15.664709766152882,41.54387792646139,872.2967951796754
EI,1,10,-14.172447856050473,49.9829563899831,922.2797515696585
EI,1,11,-12.860227025344697,41.16727091362873,963.4470224832872
EI,1,12,-12.860227025344697,23.3309013920109,986.7779238752981
EI,1,13,-12.860227025344697,20.553806273152993,1007.3317301484511
EI,1,14,-10.646056514935331,33.83644342430129,1041.1681735727525
EI,1,15,-10.646056514935331,12.008750472108007,1053.1769240448605
EI,1,16,-9.30875927176244,33.807917725885545,1086.984841770746
EI,1,17,-9.30875927176244,19.597830097947686,1106.5826718686938
EI,1,18,-8.327452423618245,61.518209871928875,1168.1008817406225
EI,1,19,-8.327452423618245,34.070846031597206,1202.1717277722198
EI,1,20,-8.327452423618245,50.24793817005668,1252.4196659422764
EI,1,21,-8.327452423618245,51.677182166109546,1304.096848108386
EI,1,22,-6.949952661291311,46.4321652677268,1350.5290133761127
EI,1,23,-6.419439982721166,52.23115411299206,1402.7601674891048
EI,1,24,-6.419439982721166,57.644945606788205,1460.405113095893
EI,1,25,-6.419439982721166,25.334124668974365,1485.7392377648673
EI,1,26,-6.305037149896664,35.271272203592346,1521.0105099684597
