acqf,trial,iteration,best_f,sum_c_x,cum_costs
CArBO,2,1,-21.38299839188435,9.002909541155883,142.23104068977156
CArBO,2,2,-21.11939496360516,9.373425918936071,151.60446660870764
CArBO,2,3,-21.11939496360516,8.679215425154737,160.28368203386236
CArBO,2,4,-21.11939496360516,8.912737784423596,169.19641981828596
CArBO,2,5,-21.11939496360516,8.46069860965693,177.6571184279429
CArBO,2,6,-21.11939496360516,8.61333642010161,186.2704548480445
CArBO,2,7,-21.11939496360516,7.647326877990537,193.91778172603503
CArBO,2,8,-21.11939496360516,7.425539620392125,201.34332134642716
CArBO,2,9,-21.11939496360516,8.573590322193974,209.91691166862114
CArBO,2,10,-21.11939496360516,8.620937869740072,218.5378495383612
CArBO,2,11,-21.11939496360516,7.6030956271176455,226.14094516547885
CArBO,2,12,-21.11939496360516,7.921418599248113,234.06236376472697
CArBO,2,13,-21.11939496360516,7.8218092071661705,241.88417297189315
CArBO,2,14,-21.11939496360516,8.989087582740323,250.87326055463348
CArBO,2,15,-19.531493704822434,8.36792857907696,259.24118913371046
CArBO,2,16,-19.531493704822434,8.943490748965784,268.1846798826762
CArBO,2,17,-16.24672916160856,8.748774579203808,276.93345446188005
CArBO,2,18,-15.333638844563893,11.806469718978644,288.7399241808587
CArBO,2,19,-14.706272682928356,11.044213872472437,299.7841380533311
CArBO,2,20,-12.030121051254703,14.273874070826984,314.0580121241581
CArBO,2,21,-12.030121051254703,9.96220603333543,324.0202181574935
CArBO,2,22,-12.030121051254703,10.946264664257548,334.9664828217511
CArBO,2,23,-12.030121051254703,17.870580063288095,352.8370628850392
CArBO,2,24,-12.030121051254703,14.407871248709466,367.24493413374864
CArBO,2,25,-10.652613066391353,16.414183519589482,383.6591176533381
CArBO,2,26,-10.652613066391353,15.457913172282574,399.1170308256207
CArBO,2,27,-8.340723983569793,19.225869962971707,418.34290078859243
CArBO,2,28,-8.340723983569793,19.984937502435038,438.3278382910275
CArBO,2,29,-8.340723983569793,19.167828191698643,457.4956664827261
CArBO,2,30,-8.340723983569793,19.20358640052814,476.69925288325425
CArBO,2,31,-8.340723983569793,18.719862083360013,495.41911496661425
CArBO,2,32,-8.340723983569793,19.162845533946726,514.581960500561
CArBO,2,33,-7.686138672825184,18.959018119620445,533.5409786201814
CArBO,2,34,-7.686138672825184,18.466115855934717,552.0070944761161
CArBO,2,35,-7.686138672825184,21.50509047686032,573.5121849529764
CArBO,2,36,-7.686138672825184,21.194992362234956,594.7071773152114
CArBO,2,37,-7.686138672825184,20.274997433459813,614.9821747486712
CArBO,2,38,-7.686138672825184,20.081586357260473,635.0637611059317
CArBO,2,39,-7.686138672825184,19.472915441487935,654.5366765474196
CArBO,2,40,-6.877554820537439,19.50283497734509,674.0395115247646
CArBO,2,41,-6.877554820537439,20.46141090927817,694.5009224340428
CArBO,2,42,-6.877554820537439,19.565949610585427,714.0668720446282
CArBO,2,43,-6.877554820537439,21.350191931110786,735.417063975739
CArBO,2,44,-6.877554820537439,19.76113110959596,755.1781950853349
CArBO,2,45,-6.877554820537439,20.555672290968257,775.7338673763031
CArBO,2,46,-6.369859533889561,19.917987426746173,795.6518548030493
CArBO,2,47,-6.369859533889561,20.548078118386456,816.1999329214358
CArBO,2,48,-6.369859533889561,23.279541205876896,839.4794741273126
CArBO,2,49,-6.369859533889561,20.844790036954837,860.3242641642674
CArBO,2,50,-6.369859533889561,20.551405523269743,880.8756696875372
CArBO,2,51,-6.369859533889561,22.44948301904654,903.3251527065837
CArBO,2,52,-6.369859533889561,25.4810447844626,928.8061974910463
CArBO,2,53,-6.369859533889561,24.12247649555247,952.9286739865988
CArBO,2,54,-6.369859533889561,26.486429963912666,979.4151039505115
CArBO,2,55,-6.369859533889561,21.69728974866409,1001.1123936991755
CArBO,2,56,-6.369859533889561,27.15218143829892,1028.2645751374744
CArBO,2,57,-6.369859533889561,28.04812875904005,1056.3127038965144
CArBO,2,58,-6.369859533889561,26.92958253088303,1083.2422864273974
CArBO,2,59,-6.369859533889561,26.202698711038835,1109.4449851384363
CArBO,2,60,-6.369859533889561,27.58062717598197,1137.0256123144184
CArBO,2,61,-6.369859533889561,24.578666544727845,1161.6042788591462
CArBO,2,62,-6.369859533889561,25.56111208232425,1187.1653909414704
CArBO,2,63,-6.369859533889561,20.736005158038708,1207.9013960995092
CArBO,2,64,-6.369859533889561,20.244424652762667,1228.145820752272
CArBO,2,65,-6.369859533889561,26.781765859233698,1254.9275866115056
CArBO,2,66,-6.342593592126014,26.056638691343068,1280.9842253028487
CArBO,2,67,-6.342593592126014,27.629880604067004,1308.6141059069157
CArBO,2,68,-6.342593592126014,26.832714071767008,1335.4468199786827
CArBO,2,69,-6.342593592126014,23.499751426538825,1358.9465714052214
CArBO,2,70,-5.633691334311829,25.14033579409373,1384.0869071993152
CArBO,2,71,-5.633691334311829,25.245946191792182,1409.3328533911074
CArBO,2,72,-5.633691334311829,23.537090019587925,1432.8699434106952
CArBO,2,73,-5.633691334311829,25.6209700291024,1458.4909134397976
CArBO,2,74,-5.633691334311829,24.975010263918715,1483.4659237037163
CArBO,2,75,-5.633691334311829,20.18391183495227,1503.6498355386686
