acqf,trial,iteration,best_f,sum_c_x,cum_costs
EEIPU,5,1,-12.190473159511448,6.566810864068241,213.75469983831206
EEIPU,5,2,-12.190473159511448,2.001848159340974,215.75654799765303
EEIPU,5,3,-12.190473159511448,3.298143634353793,219.05469163200684
EEIPU,5,4,-12.190473159511448,2.3661798110061567,221.420871443013
EEIPU,5,5,-12.190473159511448,2.798983911600276,224.2198553546133
EEIPU,5,6,-12.190473159511448,3.228859351812883,227.44871470642616
EEIPU,5,7,-12.190473159511448,3.549660375335657,230.99837508176182
EEIPU,5,8,-12.190473159511448,4.393067529319431,235.39144261108126
EEIPU,5,9,-12.190473159511448,2.5140056394246773,237.90544825050594
EEIPU,5,10,-12.190473159511448,3.9985761902279524,241.9040244407339
EEIPU,5,11,-12.190473159511448,2.443047375117362,244.34707181585128
EEIPU,5,12,-12.190473159511448,2.6263098739015818,246.97338168975287
EEIPU,5,13,-12.190473159511448,4.760554645645321,251.7339363353982
EEIPU,5,14,-12.190473159511448,2.9963266146739866,254.7302629500722
EEIPU,5,15,-12.190473159511448,4.503169289813022,259.2334322398852
EEIPU,5,16,-12.190473159511448,6.52015504774844,265.75358728763365
EEIPU,5,17,-12.190473159511448,9.313390380629214,275.06697766826284
EEIPU,5,18,-12.190473159511448,2.2381479037137417,277.3051255719766
EEIPU,5,19,-12.190473159511448,2.6261886777067125,279.9313142496833
EEIPU,5,20,-12.190473159511448,4.976951804766927,284.9082660544502
EEIPU,5,21,-12.190473159511448,2.2913259656704703,287.1995920201207
EEIPU,5,22,-12.190473159511448,3.51539786445836,290.71498988457904
EEIPU,5,23,-12.190473159511448,3.1052874241715185,293.8202773087506
EEIPU,5,24,-12.190473159511448,3.8936259786449474,297.7139032873955
EEIPU,5,25,-12.190473159511448,5.573566317459205,303.2874696048547
EEIPU,5,26,-12.190473159511448,2.921495937328918,306.20896554218365
EEIPU,5,27,-10.50726598818648,15.44906004747874,321.6580255896624
EEIPU,5,28,-10.50726598818648,1.9854503694716665,323.64347595913404
EEIPU,5,29,-9.42022851107862,2.5158694250323617,326.1593453841664
