acqf,trial,iteration,best_f,sum_c_x,cum_costs
MS_CArBO,1,1,-21.550620019836284,5.1672415936001865,295.98987598847157
MS_CArBO,1,2,-21.550620019836284,4.978018489000191,300.96789447747176
MS_CArBO,1,3,-21.550620019836284,4.773132721490745,305.7410271989625
MS_CArBO,1,4,-21.550620019836284,4.8279496854151285,310.56897688437766
MS_CArBO,1,5,-21.550620019836284,5.204555114318646,315.7735319986963
MS_CArBO,1,6,-21.550620019836284,4.945250888072252,320.7187828867685
MS_CArBO,1,7,-21.550620019836284,5.270019235395587,325.9888021221641
MS_CArBO,1,8,-21.550620019836284,5.186921471352208,331.1757235935163
MS_CArBO,1,9,-21.550620019836284,5.333483103235817,336.50920669675213
MS_CArBO,1,10,-21.550620019836284,5.30620647927218,341.8154131760243
MS_CArBO,1,11,-21.550620019836284,5.8549445290818145,347.67035770510614
MS_CArBO,1,12,-21.550620019836284,6.485954156089139,354.15631186119526
MS_CArBO,1,13,-21.550620019836284,6.173794517238705,360.330106378434
MS_CArBO,1,14,-21.550620019836284,9.884067846927481,370.2141742253615
MS_CArBO,1,15,-21.550620019836284,6.747362370265039,376.9615365956265
MS_CArBO,1,16,-21.550620019836284,6.3107763332517415,383.27231292887825
MS_CArBO,1,17,-21.550620019836284,7.96965374752101,391.2419666763993
MS_CArBO,1,18,-19.24817620712833,7.658424625957887,398.90039130235715
MS_CArBO,1,19,-19.24817620712833,7.588023444919664,406.4884147472768
MS_CArBO,1,20,-19.24817620712833,8.876988459037083,415.3654032063139
MS_CArBO,1,21,-19.24817620712833,9.12489998968853,424.4903031960024
MS_CArBO,1,22,-18.296247062272464,10.379333381575247,434.86963657757764
MS_CArBO,1,23,-18.296247062272464,9.575276375983428,444.4449129535611
MS_CArBO,1,24,-18.296247062272464,11.503629550605986,455.94854250416705
MS_CArBO,1,25,-18.296247062272464,9.960151517326175,465.9086940214932
MS_CArBO,1,26,-18.296247062272464,10.297200831062728,476.20589485255596
MS_CArBO,1,27,-18.296247062272464,10.146979211982085,486.352874064538
MS_CArBO,1,28,-18.296247062272464,11.338452508420115,497.69132657295813
MS_CArBO,1,29,-18.296247062272464,9.748771016862257,507.44009758982037
MS_CArBO,1,30,-18.151770299788943,11.710782016680144,519.1508796065006
MS_CArBO,1,31,-15.911033494056516,13.69382509728938,532.84470470379
MS_CArBO,1,32,-12.695318881271978,15.259100291937692,548.1038049957276
MS_CArBO,1,33,-11.640616608532897,19.49587879839064,567.5996837941183
MS_CArBO,1,34,-11.640616608532897,18.653896690317126,586.2535804844354
MS_CArBO,1,35,-9.542133365541236,27.60849008772937,613.8620705721647
MS_CArBO,1,36,-9.542133365541236,24.365935182892844,638.2280057550576
MS_CArBO,1,37,-9.542133365541236,22.277978960806408,660.505984715864
MS_CArBO,1,38,-9.519937013296472,40.531145482889166,701.0371301987532
MS_CArBO,1,39,-9.22184890785919,36.813925217888126,737.8510554166413
MS_CArBO,1,40,-9.11088694298107,42.581538001021315,780.4325934176626
MS_CArBO,1,41,-6.129191200318373,46.004447524375635,826.4370409420383
MS_CArBO,1,42,-6.129191200318373,21.564694297057382,848.0017352390956
MS_CArBO,1,43,-6.129191200318373,35.73670420469221,883.7384394437878
MS_CArBO,1,44,-6.129191200318373,55.189092316535245,938.9275317603231
MS_CArBO,1,45,-6.129191200318373,48.46214818947181,987.3896799497949
MS_CArBO,1,46,-6.129191200318373,34.700048116753614,1022.0897280665484
MS_CArBO,1,47,-3.0453988492111628,48.6312367459033,1070.7209648124517
MS_CArBO,1,48,-3.0453988492111628,50.773914058598955,1121.4948788710506
MS_CArBO,1,49,-3.0453988492111628,55.44159106742734,1176.9364699384778
MS_CArBO,1,50,-3.0453988492111628,82.27189463117423,1259.208364569652
MS_CArBO,1,51,-3.0453988492111628,66.43175130276254,1325.6401158724145
MS_CArBO,1,52,-3.0453988492111628,105.56862207304357,1431.208737945458
MS_CArBO,1,53,-3.0453988492111628,53.688650051467114,1484.8973879969253
MS_CArBO,1,54,-3.0453988492111628,40.76831990618078,1525.665707903106
