acqf,trial,iteration,best_f,sum_c_x,cum_costs,n_mem,eta
EEIPU,6,1,-2.9229867077621488,4.202417996837399,67.49325579256175,0,0.9875191456943847
EEIPU,6,2,-2.9229867077621488,1.669843661397265,69.16309945395902,2,0.9825598400120991
EEIPU,6,3,-2.9229867077621488,1.3446814507583804,70.50778090471741,2,0.9785662407825582
EEIPU,6,4,-2.9229867077621488,1.5070859856648726,72.01486689038228,2,0.9740903127270258
EEIPU,6,5,-2.9229867077621488,1.7793771294316678,73.79424401981395,2,0.9688057011715132
EEIPU,6,6,-1.6695026983065073,1.7547010705810053,75.54894509039495,2,0.9635943755898337
EEIPU,6,7,-1.6695026983065073,1.9442736116943202,77.49321870208927,2,0.9578200343186725
EEIPU,6,8,-1.6674604219136757,2.4064023949558093,79.89962109704507,1,0.9506732065364933
EEIPU,6,9,-1.6674604219136757,1.9352097338822336,81.8348308309273,2,0.9449257842768394
EEIPU,6,10,-1.6674604219136757,1.3010143888237338,83.13584521975103,2,0.9410618728219012
EEIPU,6,11,-1.6674604219136757,2.7511843551041215,85.88702957485515,1,0.9328910694582702
EEIPU,6,12,-1.6674604219136757,2.1026455187409496,87.9896750935961,2,0.9266463759519339
EEIPU,6,13,-1.6674604219136757,2.779850147205504,90.76952524080161,2,0.9183904374173032
EEIPU,6,14,-1.6674604219136757,3.010054719401607,93.77957996020322,1,0.9094508092239502
EEIPU,6,15,-1.6674604219136757,2.046902470161431,95.82648243036465,2,0.9033716682324746
EEIPU,6,16,-1.6674604219136757,2.429896288786717,98.25637871915137,2,0.8961550654145432
EEIPU,6,17,-1.6674604219136757,2.55155599833925,100.80793471749062,1,0.8885771427300654
EEIPU,6,18,-1.6674604219136757,2.005829248519476,102.8137639660101,2,0.8826199860094455
EEIPU,6,19,-1.6674604219136757,2.5862565361769945,105.40002050218709,1,0.8749390054289173
EEIPU,6,20,-1.6674604219136757,2.137063666575459,107.53708416876255,2,0.868592092702857
EEIPU,6,21,-1.6674604219136757,2.7305489849486415,110.26763315371119,2,0.860482574782189
EEIPU,6,22,-1.6674604219136757,3.7704514068962127,114.0380845606074,0,0.8492846276214618
EEIPU,6,23,-1.6674604219136757,3.5532349278489415,117.59131948845635,0,0.8387317964938868
EEIPU,6,24,-1.6674604219136757,3.251639632810362,120.84295912126672,0,0.8290746799143336
EEIPU,6,25,-1.6674604219136757,5.486106275681967,126.32906539694868,0,0.8127813713516352
EEIPU,6,26,-1.6674604219136757,2.7495102287650877,129.07857562571377,0,0.8046155400129055
EEIPU,6,27,-1.6674604219136757,3.199741472102228,132.278317097816,0,0.7951125569305473
EEIPU,6,28,-1.6674604219136757,3.3974919650020245,135.67580906281802,0,0.7850222702785292
EEIPU,6,29,-1.6674604219136757,3.353802583435859,139.02961164625387,0,0.7750617376886818
EEIPU,6,30,-1.6674604219136757,4.58422292607861,143.61383457233248,0,0.76144695246553
EEIPU,6,31,-1.6674604219136757,3.2107332090778797,146.82456778141037,0,0.7519113247800263
EEIPU,6,32,-1.6674604219136757,4.556093942858739,151.38066172426912,0,0.7383800804472848
EEIPU,6,33,-1.6674604219136757,4.772532930485708,156.15319465475483,0,0.7242060291703839
EEIPU,6,34,-1.6674604219136757,4.793338164523499,160.94653281927833,0,0.7099701879680128
EEIPU,6,35,-1.6674604219136757,3.891702557689478,164.83823537696782,0,0.6984121343284493
EEIPU,6,36,-1.6674604219136757,5.762812102563457,170.60104747953127,0,0.681297031000589
EEIPU,6,37,-1.661265043466092,4.182821172939459,174.78386865247074,0,0.6688743777363995
EEIPU,6,38,-1.661265043466092,4.381349462177305,179.16521811464804,0,0.655862110907975
EEIPU,6,39,-1.661265043466092,5.209113630487646,184.3743317451357,0,0.6403914489384994
EEIPU,6,40,-1.661265043466092,5.5318753890366565,189.90620713417235,0,0.6239622096721187
EEIPU,6,41,-1.661265043466092,5.520190218177144,195.42639735234948,0,0.607567674453537
EEIPU,6,42,-1.661265043466092,6.518327501899467,201.94472485424896,0,0.5882087492041406
EEIPU,6,43,-1.661265043466092,7.07371279192382,209.01843764617277,0,0.5672003728783657
EEIPU,6,44,-1.661265043466092,7.952167891791671,216.97060553796445,0,0.543583053290943
EEIPU,6,45,-1.661265043466092,7.562867523526667,224.53347306149112,0,0.5211219254914613
EEIPU,6,46,-1.661265043466092,7.132520389944332,231.66599345143544,0,0.4999388951775516
EEIPU,6,47,-1.661265043466092,6.258945819688019,237.92493927112346,0,0.48135031333227696
EEIPU,6,48,-1.661265043466092,6.762580534110345,244.68751980523382,0,0.46126597559154264
EEIPU,6,49,-1.661265043466092,5.517264805991345,250.20478461122516,0,0.4448801286194186
EEIPU,6,50,-1.661265043466092,6.987332146507593,257.1921167577328,0,0.42412829608606895
EEIPU,6,51,-1.661265043466092,5.128000962119296,262.3201177198521,0,0.4088985324272819
EEIPU,6,52,-1.661265043466092,8.197139953887676,270.5172576737398,0,0.38455366488573683
EEIPU,6,53,-1.661265043466092,5.490246586008215,276.007504259748,0,0.36824805992367954
EEIPU,6,54,-1.661265043466092,8.958705223044625,284.9662094827926,0,0.3416414028181936
EEIPU,6,55,-1.661265043466092,7.2936063320213105,292.25981581481386,0,0.319979959796348
EEIPU,6,56,-1.661265043466092,5.876616607845411,298.13643242265925,0,0.3025268659471223
EEIPU,6,57,-1.661265043466092,6.621683556459752,304.758115979119,0,0.28286098126162484
EEIPU,6,58,-1.661265043466092,7.765911451473132,312.5240274305921,0,0.2597968288024717
EEIPU,6,59,-1.661265043466092,7.284498606554494,319.80852603714663,0,0.23816243501625473
EEIPU,6,60,-1.302961506133742,6.039812873558701,325.8483389107053,0,0.2202246609621753
EEIPU,6,61,-1.302961506133742,6.341678013756638,332.19001692446193,0,0.20139037094095744
EEIPU,6,62,-1.302961506133742,5.337323960200763,337.5273408846627,0,0.1855389342730039
EEIPU,6,63,-1.302961506133742,7.569685823664589,345.0970267083273,0,0.16305755665289567
EEIPU,6,64,-1.302961506133742,9.955693181223227,355.05271988955053,0,0.13348992292398842
EEIPU,6,65,-1.302961506133742,6.705680885532431,361.758400775083,0,0.11357457271007228
EEIPU,6,66,-1.302961506133742,6.748178406003521,368.5065791810865,0,0.09353300816865495
EEIPU,6,67,-1.302961506133742,4.861634168768878,373.3682133498554,0,0.0790943331503036
EEIPU,6,68,-1.302961506133742,7.22420427113966,380.5924176209951,0,0.05763900884654473
EEIPU,6,69,-1.302961506133742,5.8720893359483055,386.4645069569434,0,0.04019936064241947
EEIPU,6,70,-1.302961506133742,9.944627686664198,396.4091346436076,0,0.010664590570938694
EEIPU,6,71,-1.302961506133742,8.992093980113554,405.4012286237212,0,-0.01604122854383258
